year,age,marriage,race,education,region,jobclass,health,health_ins,logwage,wage
2006,18,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.318063335,75.04315402
2004,24,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.255272505,70.47601965
2003,45,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.875061263,130.9821774
2003,43,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.041392685,154.685293
2005,50,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.318063335,75.04315402
2008,54,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.84509804,127.1157438
2009,44,2. Married,4. Other,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.133021279,169.528538
2008,30,1. Never Married,3. Asian,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.716003344,111.7208494
2006,41,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125,118.8843593
2004,52,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.857332496,128.6804882
2007,45,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.763427994,117.1468169
2007,34,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.397940009,81.28325328
2005,35,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.494154594,89.49247952
2003,39,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.903089987,134.7053751
2009,54,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.903089987,134.7053751
2009,51,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.505149978,90.48191336
2003,37,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.414973348,82.6796373
2006,50,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.360551762,212.8423523
2007,56,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.861026342,129.156693
2003,37,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.591064607,98.59934386
2003,38,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.301029996,200.5432623
2005,40,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.920123326,50.40666086
2009,75,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.447158031,85.38394038
2007,40,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.079181246,160.6424754
2006,38,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.544068044,94.07271475
2005,49,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.626186335,277.6014175
2006,43,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.431363764,84.04595765
2004,34,2. Married,4. Other,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.176091259,65.11085372
2008,57,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.755874856,116.2653241
